epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2574.92,1.14915,0.5646,1.03783,0.9327,0.88595,0.94007,0.62756,1.2138,0.52168,1.09992,0.000753817,0.000753817,0.000753817
85,2605.31,1.13594,0.56323,1.03153,0.92978,0.89151,0.9398,0.6281,1.21041,0.52088,1.09891,0.000742815,0.000742815,0.000742815
86,2635.88,1.13319,0.55675,1.02939,0.9276,0.89135,0.94023,0.62967,1.20939,0.51714,1.09873,0.000731813,0.000731813,0.000731813
87,2666.12,1.13386,0.55835,1.0291,0.92834,0.89343,0.94212,0.6323,1.2082,0.51765,1.09782,0.000720811,0.000720811,0.000720811
88,2696.42,1.13022,0.55214,1.02882,0.93508,0.89164,0.94096,0.62952,1.21085,0.52062,1.10182,0.000709809,0.000709809,0.000709809
89,2726.68,1.13141,0.55397,1.02937,0.93564,0.8838,0.93908,0.62919,1.21269,0.5163,1.09878,0.000698806,0.000698806,0.000698806
90,2757.19,1.12662,0.55183,1.03047,0.93742,0.88304,0.94143,0.6301,1.21485,0.51493,1.09891,0.000687804,0.000687804,0.000687804
91,2787.55,1.12314,0.54737,1.02277,0.91877,0.89581,0.93862,0.62633,1.21412,0.51469,1.10088,0.000676802,0.000676802,0.000676802
92,2817.78,1.12608,0.54962,1.02542,0.92947,0.88546,0.93946,0.62887,1.20926,0.51204,1.09699,0.0006658,0.0006658,0.0006658
93,2848.26,1.11343,0.54465,1.02232,0.92879,0.88458,0.93708,0.62724,1.21121,0.51723,1.09865,0.000654798,0.000654798,0.000654798
94,2878.53,1.12527,0.5468,1.02429,0.92765,0.89093,0.94014,0.62935,1.21108,0.51455,1.09598,0.000643795,0.000643795,0.000643795
95,2908.86,1.12491,0.54825,1.02436,0.92788,0.88988,0.93823,0.62773,1.20906,0.51372,1.09622,0.000632793,0.000632793,0.000632793
96,2939.32,1.11632,0.54053,1.02504,0.93058,0.89227,0.94273,0.62911,1.21192,0.51149,1.09834,0.000621791,0.000621791,0.000621791
97,2969.77,1.1088,0.5425,1.01859,0.92337,0.89208,0.94271,0.62973,1.21288,0.51199,1.10054,0.000610789,0.000610789,0.000610789
